#,Name,Address,Atoll,Island,District,Rooms,Beds,Phone,Fax,Email,Website,Operator,Owner/Lesse
193,Dreams Grand,Hulhumale' Lot. No. 10467,Kaafu,Male',Hulhumale',11,22,3356533,3356533,sales@dreamsgrand.com,www.dreamsgrand.com,"Ibrahim Hussein 
Dhaftharu number 3276 
Male', Republic of Maldives","Ibrahim Hussein 
Dhaftharu number 3276 
Male', Republic of Maldives"
194,Due Palm Guest House,Babulhaage,Vaavu,Keyodhoo,,8,4,7741701,,info@maldivealternative.com,www.maldivealternative.com,"Idrees Adam ( A095222)
Babulhaage 
Keyodhoo, Vaavu Atoll
Republic of Maldives",Legal heirs of the Land owner
195,Eden Blue,Blue Waves,Kaafu,Thulusdhoo,,4,8,7779317 / 7830785,,vacanzaexpressmaldives@gmail.com,,"Vacanza Express Maldives Private Limited 
H. Revimaage, 2nd Floor
Meheli Goalhi
Male', Republic of Maldives","Hawwa Shaheen
Dhongaa
Thulusdhoo, Kaafu Atoll
Republic of Maldives"
196,Ekefaru Inn,Billion,Gaafu Alifu,Villingili,,6,12,7600945,,ekefaruinn@gmail.com,,"Ekefaru Inn (SP)
Shazma Mohamed
Ekefaru
Villingili, Gaafu Alifu Atoll
Republic of Maldives","Mohamed Habeeb 
Jaburoazuge
Villingili, Gaafu Alifu Atoll
Republic of Maldives"
197,Eleven Trees,Hulhumale' Lot. No. 11038,Kaafu,Male',Hulhumale',15,30,"9977045
7247700",,info@equilibree.co,,"Equilibree Pvt Ltd 
G. Rehendi 06
Kanbaa Aisaa Hingun
Male', Republic of Maldives","Mohamed Shifaq Adam Naseer 
Ma. Ever Bright
Male', Republic of Maldives"
198,Elite Beach Inn,Hulhumale' Lot. No. 10503,Kaafu,Male',Hulhumale’,10,20,3357007,,reservations@hotelelitemaldives.com,,"""Sameera Travels Pvt Ltd (C-0471/2011)
G. Parkeru House
Shabnam Magu
Male', Republic of Maldives""","""Thooza Saeed (A079465)
Rabeeuge
Lh. Hinnavaru
Republic of Maldives"""
199,EM Beach Maldives,Seesange (South ward),Kaafu,Himmafushi,,6,12,7887217,,reservations@embeachmaldives.com,www.embeachmaldives.com,"Mohamed Juman Shareef 
H. Dew Drop
Male', Republic of Maldives","Naseer Ali 
Seesange
K. Himmafushi
Republic of Maldives"
200,Endhaa Divers Home,Endhaa,Gnaviyani,Fuvahmulah,,4,8,7783233,,mujura74@hotmail.com,,"Ahmed Mujuthaba Abdulla
Maadhadu, Mahilanbumaage
Fuvamulah, Gnaviyani Atoll
Republic of Maldives","Ahmed Mujuthaba Abdulla
Maadhadu, Mahilanbumaage
Fuvamulah, Gnaviyani Atoll
Republic of Maldives"
201,Endheri Residence,"Shelistial, Vidhuvaru Goalhi",Kaafu,Guraidhoo,,3,6,7765214,,endheri.residence@gmail.com,www.equitymaldives.com,"Ethereal Investments Maldives Pvt Ltd 
G. Feydhookosheege
Majeedhee Magu
Male', Republic of Maldives","Nadiya Aboobakuru 
Shelistial
Guraidhoo, Kaafu Atoll
Republic of Maldives"
202,Endheri Sunset,Endheri Lodge,Alifu Dhaalu,Dhangethi,,10,20,7780205,,endherisunset@gmail.com,,"Endheri Sunset Dhangethi 
Endherimaage 
Dhangethi, Alifu Dhaalu Atoll
Republic of Maldives","Hussain Naeem 
Endherimaage 
Dhangethi, Alifu Dhaalu Atoll
Republic of Maldives"
203,Entre Azules,"Love Nest, Haveeree Higun",Kaafu,Maafushi,,14,28,9960109,,entreazules2022@gmail.com,,"Entre Azules Pvt Ltd 
Sedows
Maafushi, Kaafu Atoll
Republic of Maldives","Legal heir of late Sanfa Yoosuf:
Ali Mansoor 
Fehivinamaage
Maafushi, Kaafu Atoll
Republic of Maldives"
204,EQ Inn,Star Lodge,Meemu,Muli,,4,8,7282820,,eqmaldives7282820@gmail.com,,"EQ Maldives 
Ibrahim Zaki 
Haveereege
Muli, Meemu Atoll
Republic of Maldives","1. Aminath Zameela 
Star Lodge, Muli, Meemu Atoll, Republic of Maldives
2. Hassan Sobah 
Star Lodge, Muli, Meemu Atoll, Republic of Maldives"
205,Equator Holiday Inn,Island Villa,Gnaviyani,Fuvahmulah,,4,8,7772914,7772914,equatorholidayinn@gmail.com,,"Silk Route Services 
HulhuMale' 10213
Hithigas Magu
Male', Republic of Maldives","Abdul Latheef Mohamed 
HulhuMale' 10213
Hithigas Magu
Male', Republic of Maldives"
206,Equator Homestay,Hirihamaathige,Seenu,Hulhudhoo,,6,12,7771153,,equatorhomstay@gmail.com,www.equatorhomestay.com,"Moosa Haneef 
Dhaftharu No. 2124
Male', Republic of Maldives","Moosa Haneef 
Dhaftharu No. 2124
Male', Republic of Maldives"
207,Equator Villa,"Naares
1, Halaveli Magu
Maafushi, Kaafu Atoll
Republic of Maldives",Kaafu,Maafushi,,6,12,9400005,,info@equator-villa.com,www.equatorvilla.com,"Ahmed Fazeem 
Finifenmaage
Bilehdhoo, Faafu Atoll 
Republic of Maldives","Abdul Nasir Mohamed 
Naares
Maafushi, Kaafu Atoll
Republic of Maldives"
208,Equatorial Diver's Lodge,Thilinfaru,Seenu,Feydhoo,,11,22,9993224,6892929,info@heavelymaldives.com,www.heavenlymaldives.com,"Heavenly Maldives Pvt Ltd 
M. Dhoruge 
Male', Republic of Maldives","Ibrahim Rasheed 
Dhekunuge 
Feydhoo, Seenu Atoll 
Republic of Maldives"
209,Escapism Maldives,"Asareege
Shaheed Ali Hingun",Alifu Alifu,Feridhoo,,6,12,7341818,,sales@escapismmaldives.com,escapismmaldives.com,"Ali Shuhad Abdulla 
Shemrock
Feridhoo, Alifu Alifu Atoll
Republic of Maldives","Anwary Abdul Razzaq 
Asareege
Feridhoo, Alifu Alifu Atoll
Republic of Maldives"
210,Ethereal Inn,Nooraanee Villa,Kaafu,Maafushi,,6,12,9935311,,etherealnn@gmail.com,,"""Abdulla Firshan (A246677)
G. Kanditholhige
Male'City, Republic of Maldives""","""Saud Hussain (A128272)
Nooraanee Villa
K. Maafushi
Republic of Maldives"""
211,Everest Lodge,"Everest, Mohamed Thakurufaanu Magu",Seenu,Meedhoo,,4,8,"9554990
9167353",,lolloa2354@protonmail.com,,"Everest Holidays (SP)
Aminath Iyasa
Everest
Meedhoo, Seenu Atoll
Addu City, Republic of Maldives","Aminath Iyasa 
Everest
Meedhoo, Seenu Atoll
Addu City, Republic of Maldives"
212,Eveylaa Guesthouse,Hahethi,Vaavu,Fulidhoo,,4,8,7677906,,info@eveylaguesthouse.com,,"Sama Maldives (SP)
Aminath Shathura  
Red Sea
Thinadhoo, Gaafu Dhaalu Atoll
Republic of Maldives","Ibrahim Sameer 
Hahethi
Fulidhoo, Vaavu Atoll
Republic of Maldives"
213,Evila inn Thoddoo,Haavilla,Alifu Alifu,Thoddoo,,6,12,7515777,,evilainnthoddoo@gmail.com,,"Ibrahim Hassan 
Evilaa
Thoddoo , Alifu Alifu Atoll 
Republic of Maldives","Shadiya Moosa 
Haavila 
Thoddoo , Alifu Alifu 
Republic of Maldives"
214,Explore Island Inn,Edhuruge,Lhaviyani,Kurendhoo,,3,6,7921280,,sales@exploreislandinn.com,exploreislandinn.com,"Baseera Ahmed 
Meenaaz
Kurendhoo, Lhaviyani Atoll
Republic of Maldives","Abdulla Ali
Edhuruge
Kurendhoo, Lhaviyani Atoll
Male', Republic of Maldives"
215,Express Inn,"Hulhumale', 10787",Kaafu,Male',Hulhumale',15,30,3354044,3354045,expressinmv@gmail.com,,"Aminath Afeefa 
H. Aidha
Lonuziyaaraiy Magu
Male', Republic of Maldives","Mohamed Aseel Ahmed 
H. Aidha, 10th Floor
Male, Rep of Maldives"
216,Eyot Wave,Aairu,Kaafu,Himmafushi,,4,8,7347974,7347974,eyotmaldives@gmail.com,,"Unidos Company Pvt Ltd 
Guraha
Hinmafushi, Kaafu Atoll
Republic of Maldives","Ahmed Ibrahim 
Aagadhage
Hinmafushi, Kaafu Atoll
Republic of Maldives"
217,Ezmeralda Maldives,"Hulhumale' Plot No. 10590, Hithigas Magu",Kaafu,Male',Hulhumale’,10,20,33555655,,Manager@ezmeraldamaldives.com,,"Jee S Business Export and Import (SP)
Mariyam Jeeza 
G. Raiyniru
Male', Republic of Maldives","Mohamed Shiyaz Ibrahim Fakir 
V. Nadhaa
Male', Republic of Maldives"
218,Faima Fishing Lodge,"Neeloafaruge, Dheyliyaa Magu",Baa,Dharavandhoo,,6,12,"7776838
7946494",,faimainvestments@gmail.com,,"Faima H Investment (SP)
Mohamed Hameed 
Dhaftharu. No RS 3164
Male', Republic of Maldives","Mohamed Hameed 
Dhaftharu. No RS 3164
Male', Republic of Maldives"
219,Fairytale Inn,"1. Aathari, 2. Yellow Leaf, 3. Shooting Star, Ameenee Magu",Alifu Alifu,Thoddoo,,9,18,7339225,,fairytaleinn@gmail.com,,"Dream Fexx Pvt Ltd 
Fehivilaage
Thoddoo, Alifu Alifu Atoll
Republic of Maldives","Owner of Aathari:
Hassan Rasheed, Hudhufinifenmaage, AA. Thoddoo, Rep. of Maldives
Owner of Shooting Star:
Alyna Ali Adam, Tharividhaage, AA. Thoddoo, Rep. of Maldives
3. Owners of Yellow Leaf:
1. Adam Abdulla, Ujaalaa, AA. Thoddoo, Rep. of Maldives
2. Fathimath Rifasha, Alivaage, AA. Thoddoo, Rep. of Maldives"
220,Fanhaa Guesthouse,Flower Garden,Haa Dhaalu,Hanimaadhoo,,6,12,7935795,,fanhaaguesthouse@gmail.com,,"Phyron Holdings Pvt Ltd 
Flower Garden 
Hanimadhoo, Haa Dhaalu
Republic of Maldives","Sakeena Ali 
Reehussabaah
Hanimaadhoo, Haa Dhaalu
Republic of Maldives"
221,Fari Lodge,Maafarivaage Banafsa Goalhi,Kaafu,Kaashidhoo,,3,6,9990592,,farilodge@gmail.com,,"Fari Lodge 
Abdul Hannan Ahmed 
Maafarivaage
Kaashidhoo, Kaafu Atoll
Republic of Maldives","Abdul Hannan Ahmed
Maafarivaage
Kaashidhoo, Kaafu Atoll
Republic of Maldives"
222,Fatims Beach House,1.Ocean Blue 2.Janavareehiyaa 3.Janavareege,Kaafu,Maafushi,,9,18,7779306,,asward.i.waheed@gmail.com,,"Fatimas Beach House
Ibrahim Waheed
Award
Dhevvadhoo, Gaafu Alifu Atoll
Republic of Maldives","1. legal heirs of late Aishath Ismail
Ocean Blue 
Maafushi, Kaafu Atoll
Republic of Maldives 
2. Hassan Ismail
Janavaree Hiyaa 
Maafushi, Kaafu Atoll
Republic of Maldives 
3.  Sobira Ismail
Janavareege 
Maafushi, Kaafu Atoll
Republic of Maldives"
223,Fazaa View Inn,"Fazaa, Kasthoori Magu",Kaafu,Maafushi,,5,10,7776316,,zakittey161@gmail.com,,"Fazaa View Inn (SP)
Ibrahim Zaki 
Julietge
Maafushi, Kaafu Atoll
Republic of Maldives","Aishath Ahmed 
Julietge
Maafushi, Kaafu Atoll
Republic of Maldives"
224,Fehendhoo Stay,"Paris, Haveeree Hingun",Baa,Fehendhoo,,5,10,7900952,,baikan.maldives@gmail.com,,"Baikan Pvt. Ltd. 
Gulfam ge
Mudhinbeyya Goalhi
Dhevvadhoo, Gaafu Alifu
Republic of Maldives","Mohamed Naeem 
Dhaftharu No. 3545
Male', Republic of Maldives"
225,Feridhoo Beach Villa,"Bahaaruge, Haveeree Hingun",Alifu Alifu,Feridhoo,,12,24,7781388,,info@feridhoobeachvilla.com,http://www.feridhoobeachvilla.com/,"FBV Holdings Pvt Ltd 
H. Revimaage 9A
Meheli Goalhi
Male', Republic of Maldives","Hassan Mohamed 
G. Revimaa Villa
Male', Republic of Maldives"
226,Feridhoo Inn,Reena Manzil,Alifu Alifu,Feridhoo,,5,10,"9902305
9970590",7990081,info@feridhooinn.com,www.feridhooinn.com,"Aboobakuru Abdul Kareem
Reena Manzil
AA. Feridhoo
Republic of Maldives","Aboobakuru Abdul Kareem
Reena Manzil
AA. Feridhoo
Republic of Maldives"
227,Finimas Residence,Sheen,Thaa,Thimarafushi,,6,12,9111878,,finimasresidence@gmail.com,www.finimasresidence.com,"Ahmed Abdulla 
Iruvaige 
Thimarafushi, Tha Atoll
Republic of Maldives","Ahmed Abdulla 
Iruvaige 
Thimarafushi, Tha Atoll
Republic of Maldives"
228,Finolhu Beach Guesthouse,Handhufalhi,Vaavu,Felidhoo,,5,10,7765689,,info@finolhubeach@gmail.com,,"Island Holiday Safari Pvt Ltd 
M. Koka Hiyani 
Shaheed Ali Hingun
Male', Republic of Maldives","Abdul Razzaq Moosa 
Handhuvareege 
Felidhoo, Vaavu Atoll
Republic of Maldives"
229,Finolhu Dhigurah,Ocean Wave,Alifu Dhaalu,Dhigurah,,5,10,9867636,,Finolhudhigurah@gmail.com,,"Finolhu Dhigurah (SP26082021)
Ibrahim Abdul Raheem (A152523)
White Rose 
Dhigurah, Alifu Dhaalu Atoll 
Republic of Maldives","Hawwa Ali (A031322)
White Rose 
Dhigurah, Alifu Dhaalu Atoll
Republic of Maldives"
230,Fins Dive and Leisure Inn,Karishmaa,Alifu Alifu,Rasdhoo,,5,10,7943731,,nizar.keyodhoo@gmail.com,,"Khadheeja Ahmed 
H. Hazel
Roashanee Goalhi
Male', republic Of  Maldives","Samiya Ibrahim 
Gulisthaanuge 
AA. Rasdhoo
Republic Of Maldives"
231,Fisherman's House,Finivaage,Gaafu Alifu,Maamendhoo,,3,6,9851409,,housefishermans@gmail.com,,"Abdulla Nazir 
Dhaftharu. No RS11204
Male', Republic of Maldives","Anwar Abdul Kareem
Finivaage
Ga. Maamendhoo
Republic of Maldives"
232,Five Coral Inn,Fashan,Baa,Kamadhoo,,9,18,7754484,,fivecoralinn@gmail.com,,"Afaa Rasheed 
Falhoagasdhoshuge, 
Eydhafushi, Baa Atoll 
Republic of Maldives","Afaa Rasheed , 
Falhoagasdhoshuge, Eydhafushi, Baa Atoll 
Aminath Vilaaya , 
Falhoagasdhoshuge, Eydhafushi, Baa Atoll
Mohamed Meekail Ibrahim, 
Falhoagasdhoshuge, Eydhafushi, Baa Atoll
Aishath Anum Rasheed, 
Falhoagasdhoshuge, Eydhafushi, Baa Atoll
Ahmed Yaeesh Ibrahim, 
Falhoagasdhoshuge, Eydhafushi, Baa Atoll"
233,Five Ens Lodge,Five Ens,Vaavu,Keyodhoo,,3,6,7943731,,nizar.keyodhoo@gmail.com,,"Moosa Nizar Ibrahim (A070230)
Dhaftharu No 5371
Male', Republic Of Maldives","Nizama Ahmed (A127150)
Keyodhoo, Vaavu Atoll
Republic Of Maldives"
234,Five Rose Guest House,Five Rose,Lhaviyani,Kurendhoo,,3,6,7902784,,info@fiverosemaldives.com,,"Five Rose Pvt Ltd
HM. Flat 156-01-02, 
Male', Republic of Maldives","Hawwa Yaugoob
Alivaage
Kurendhoo, Lhaviyani
Republic of Maldives"
235,Fiyala Homestay,Wind House,Seenu,Feydhoo,,5,10,9150698,,fiyalamaldives@gmail.com,,"Fiyala Maldives (SP)
Fathimath Ahmed Didi 
Dhaftharu. No RS 5120
Male', Republic of Maldives","Mohamed Afzal
Sabudhelige
Feydhoo, Seenu Atoll
Republic of Maldives"
236,FSS Residence,Viligileege,Gaafu Dhaalu,Hoadehdhoo,,5,10,9655380,,fssmaldives@gmail.com,,"Shivaaz Hassan Manik (A299348)
Dheraha
Hoadhedhoo, Gaafu Dhaalu Atoll 
Republic of Maldives","Fathimath Hassan Manik ( A053684 , SN0467407)
Dhaftharu. No 1631 
Male', Republic of Maldives"
237,Fulhadhoo Inn,Silver Beach,Baa,Fulhadhoo,,4,8,7770581,7347676,info@fulhadhooinn.mv,www.fulhadhooin.com,"Mohamed Fisal 
Venus
B. Fulhadhoo
Republic of Maldives","Ahmed Shujau 
Silver Beach
B. Fulhadhoo
Republic of Maldives"
238,Fulidhoo Ihaa Lodge,Ranfas,Vaavu,Fulidhoo,,3,6,7940999,6700603,mfaizz789@gmail.com,,"Fulidhoo Ihaa Lodge 
Moosa Faiz 
Gulzaaru Aage
V. Fulidhoo
Republic of Maldives","
Moosa Faiz 
Gulzaaru Aage
V. Fulidhoo
Republic of Maldives"
239,Fulidhoo La perla Guest House,Lapella,Vaavu,Fulidhoo,,3,6,7955677,,fulidhoolaperla@outlook.com,,"Abdul Hameed 
Gulzaaruaage
Fulidhoo, Vaavu Atoll
Republic of Maldives","Abdul Hameed
Gulzaaruge
Fulidhooz, Vaavu Atoll
Republic of Maldives"
240,Fulidhoo White Inn,Ithaa,Vaavu,Fulidhoo,,6,12,7779527,,fulidhoomuhaimin@gmail.com,http://fulidhoowhiteinn.com/,"Lettered Olive Investment (SP)
Abdul Muhaimin Naseer 
Ahigasdhoshuge
Fulidhoo, Vaavu Atoll
Republic of Maldives","Sadhna Mohamed 
Vaijeheyge
Fulidhoo, Vaavu Atoll
Republic of Maldives"
241,Fushi Stay,Vafaa,Baa,Hithaadhoo,,5,10,7931010,,fushistay@gmail.com,,"Fushi Stay Pvt. Ltd. 
Vafaa 
Hithaadhoo, Baa Atoll
Republic of Maldives","Abida Abdul Rahman 
Vafaa
Hithaadhoo, Baa Atoll
Republic of Maldives"
242,Fuvahmulah Inn,Amico,Gnaviyani,Fuvahmulah,,5,10,9994682/7774682,6862512,siolihami@gmail.com,,"Ahmed Salih Ibrahim 
Dhoodigan , Amico 
Fuvahmulah , Gnaviyani Atoll 
Republic of Maldives","Ahmed Salih Ibrahim 
Dhoodigan , Amico 
Fuvahmulah , Gnaviyani Atoll 
Republic of Maldives"
243,Gaafaru Burulu Inn,Nookokaage,Kaafu,Gaafaru,,5,10,7913612,,amoontt1088@gmail.com,,"Dhanburuh Private Limited 
Nookokaage
Gaafaru, Kaafu Atoll
Republic of Maldives","Fathimath Abdullah 
Dhaburuhge
Gaafaru, Kaafu Atoll
Republic of Maldives"
244,Gaafaru View Inn Maldives,"Silver House 12, Husnuheena Magu",Kaafu,Gaafaru,,7,14,9417717,,gaafaruviewinn05@gmail.com,,"Razaan Investment 
Thorig Umar 
Kulhithulhaage
Gaafaru, Kaafu Atoll
Republic of Maldives","Thorig Umar 
Kulhithulhaage
Gaafaru, Kaafu Atoll
Republic of Maldives"
245,Galaxy Sunrise,Galaxy,Vaavu,Fulidhoo,,5,10,9150518,,bushreemabuni74@gmail.com,,"Bushree Moosa 
Thadiraiymaage
V. Fulidhoo
Republic of Maldives","Bushree Moosa 
Thadiraiymaage
V. Fulidhoo
Republic of Maldives"
246,Gaskara Guesthouse,"Gaskara, Gaskara Goalhi",Shaviyani,Maroshi,,4,8,9715855,,ahmedwah.gaskara@gmail.com,,"Gaskara Guesthouse (SP)
Ahmed Waheed 
M. Areej
Male', Republic of Maldives","1. Furugaan Ahmed Waheed 
2. Ibrahim Maazin 
M. Areej
Male', Republic of Maldives"
247,Globus Cottage Inn,Hiya Vahi,Baa,Hithaadhoo,,10,20,7778458,,chabychin@gmail.com,,"Chabs Ki Pvt Ltd 
H. Prime Rose
Majeedhee Magu
Male', Republic of Maldives","Hassan Hussain 
Hiyaavahi
Hithaadhoo, Baa Atoll
Republic of Maldives"
248,Goby Lodge,"Oyster, Latheefee Hingun",Alifu Dhaalu,Mahibadhoo,,4,8,"9787073
7787073",,goby777@gmail.com,,"Goby 
Ms. Aminath Saadha
Oyster, Adh, Madhibadhoo
Republic of Maldives","Aminath Saadha
Oyster, Adh, Madhibadhoo
Republic of Maldives"
249,Golden Sails Guesthouse,"G. Uthuru, Majeedhee Magu",Kaafu,Male',Galolhu,21,42,7378040,,rasilkhaleel@gmail.com,,"Golden Sails 
Abdulla Rasil Khaleel
H. Filigasdhoshuge
Ameer Ahmed Magu
Male', Republic of Maldives","Aishath Khaleel 
G. Uthuruge
Male', Republic of Maldives"
250,Golhaa View Inn-By Tes,Cornbe Beach,Kaafu,Thulusdhoo,,10,20,7791572,3309970,info.tesmaldives@gmail.com,,"Tes Maldives Pvt Ltd 
G. Nissaa
Koimalaa Hingun
Male', Republic of Maldives","1. Ibrahim Shiham
Sueyz
K. Thulusdhoo
2. Ahmed Riza
Zurik
K. Thulusdhoo"
251,Grace Beach Inn,Hulhumale' Lot. No.10103,Kaafu,Male',Hulhumale',7,14,"3350084
7771970",3350083,gracebeachinn@gmail.com,,"Grace Beach Pvt Ltd 
Lot no: 10103
Hulhumale'
Republic of Maldives","Aminath Rishmy Ali 
Keeranmage
S. Maradhoo
Republic of Maldives"
252,Green Flora,Shima,Kaafu,Male',Villimale',17,34,"3399737
7777655",,info@greenflora.net,www.greenflora.net,"Ahmed Ibrahim Didi 
M. Karishma Villa
Male', Republic of Maldives","Yaseen Ahmed Ibrahim Didi 
M. Karishma Villa
Naseemee Hingun
Male', Republic of Maldives"
253,Green Inn,Green Heaven,Dhaalu,Maaenboodhoo,,6,12,7492422,,irfnnn@gmail.com,,"Notoventures (SP23642019)
Mohamed Irufaan (A213502) 
Diamond Villa
Maaenboodhoo, Dhaalu Atoll
Republic of Maldives","Hajara Abdul Azeez (A102349)
Green Heaven
Maaenboodhoo, Dhaalu Atoll
Republic of Maldives"
254,Green Leaf Omadhoo,Gahaa,Alifu Dhaalu,Omadhoo,,6,12,9759909,,h.naaif.scott@gmail.com,,"Hassan Naaif 
Bonthi 
Omadhoo, Alifu Dhaalu Atoll
Republic of Maldives","Saamath Mohamed 
Bonthi 
Omadhoo, Alifu Dhaalu Atoll
Republic of Maldives"
255,Gunbaru Inn,Asseyri,Alifu Alifu,Ukulhas,,11,22,"9621214
9988669",,"info@gunbaruinn.com
gunbaruinn@gmail.com",www.gunbaruinn.com,"Imadex Pvt Ltd 
Asseyri, Chanbeylee Magu, AA Ukulhas
Republic of Maldives
","1. Shmala Abdulla 
Maavadige, AA. Ukulhas
2. Abdul Latheef Imad 
Asseyri, AA. Ukulhas
3. Mariyam Shakeeba 
Asseyri, AA. Ukulhas
4. Abdulla Hameed Imad 
Asseyri, AA. Ukulhas
5. Abdulla Rasheed 
Asseyri, AA. Ukulhas
6. Shahla Imad 
Asseyri, AA. Ukulhas
7. Abdulla Waheed Imad 
Sarumeelaa Manzil, AA. Ukulhas
8. Ali Rasheed 
Sarumeelaa Manzil, AA. Ukulhas
9. Shaheera Imad 
Sarumeela Manzil, AA. Ukulhas
10. Abdul Sameeu Imad 
Asseyri, AA. Ukulhas
11. Laiza Imad 
Maavadige, AA. Ukulhas"
256,Guraidhoo Palm Inn,Nisha Manzil,Kaafu,Guraidhoo,,15,30,7913450,7913450,jerry@waterproofsports.org,www.guraidhoopalminn.com,"Guraidhoo Palm Inn Pvt Ltd
Silinco
Neelofaru Magu
Guraidhoo, Kaafu Atoll
Republic of Maldives","Abdul Jaleel Mohamed 
Silinco
K.Guraidhoo
Republic of Maldives"
257,Gurus Maldives,Beach Coral,Kaafu,Gulhi,,4,8,7889338,,sharusasha160@gmail.com,,"Aminath Sharmeela
Beach Coral
K. Gulhi
Repubic of Maldives","Aminath Sharmeela
Beach Coral
K. Gulhi
Republic of Maldives"
258,H78,Hulhumale' Lot. No. 11049,Kaafu,Male',Hulhumale',15,30,3357878,3350078,info@hotel78maldives.com,www.hotel78maldives.com,"Hotel 78 Group Pvt Ltd
Hulhumale’ Lot No. 11049
Male', Republic of Maldives","Afaaf Abdul Majeed
G. Enif
Male', Republic of Maldives"
259,Hanifaru Transit Inn,Arumaan,Baa,Dharavandhoo,,4,8,"9857344
7778238",,info@hanifarutransitinn.com,www.hanifaruttansitinn.com,"Ahmed Rasheed 
Arumaan
Dharavandhoo, Baa Atoll 
Republic of Maldives","Ahmed Rasheed 
Arumaan
Dharavandhoo, Baa Atoll 
Republic of Maldives"
260,Happy Feet Inn,Dhefaiykoalhi,Kaafu,Kaashidhoo,,5,10,7209797,,haa-fix@hotmail.com,,"Sudhoo Investment 
Sudhoodha Shakeeb 
H. Havaasaa 
Sosun Magu 
Male', Republic of Maldives","Shudhoodha Shakeeb 
H. Havaasa
Sosun Magu 
Male', Republic of Maldives"
261,Hathaa Beach Maldives,Hulhumale' Lot. No. 10711,Kaafu,Male',Hulhumale',7,14,3352007/ 9981171,,hathaabeach@gmail.com,www.hathaabeach.com,"Hathaa Beach Maldives (SP)
Fathmath Farooq 
Dhoodigan. Dhaairaa
Fuvahmulah, Gnaviyani Atoll
Republic of Maldives","Dr. Hassan Saeed 
Dhiggagasdhoshuge
Feydhoo, Seenu Atoll
Republic of Maldives"
262,Haveyli Grande,"Haveyli, Sosun Magu",Alifu Alifu,Feridhoo,,3,6,7773723,,haveyligrande@gmail.com,,"Haveyli Grande (SP)
Saud Abdul Kareem 
Dhaftharu. No RS 2034
Male, Republic of Maldives","Saud Abdul Kareem 
Dhaftharu. No RS 2034
Male, Republic of Maldives"
263,Heavenly Residence,Haveyli,Alifu Alifu,Thoddoo,,5,10,9772949,,reservation.heavenly@gmail.com,,"Heavenly Residence 
Haveyli
Thoddoo, Alifu Alifu Atoll
Republic of Maldives","Razeena Adam 
Haveyli
Thoddoo, Alifu Alifu Atoll
Republic of Maldives"
264,Hedheykuri Residence,"Dhoodigan, Hedheykuri, Bodufannu Magu",Gnaviyani,Fuvahmulah,,3,6,7779208 / 7978495,,aan12342001@gmail.com,,"Super Venture Maldives Private Limited 
Dhoodigan, Hedheykuri
Bodufannu Magu 
Fuvahmulah, Gnaviyani Atoll
Republic of Maldives","Hawwa Nazima 
Dhoodigan, Rest
Fuvahmulah, Gnaviyani Atoll
Republic of Maldives"
265,Hello Ocean View,Block 114 Commercial Land,Shaviyani,Funadhoo,Funadhoo,4,8,7948425,,hello.ocean.view@gmail.com,,"Hello Ocean View (SP01352022)
Mohamed Mahil Latheef (A270976)
Havaas
03150
Funadhoo, Shaviyani Atoll
Republic of Maldives","Miladhunmadulu Uthuruburee Funadhoo Council Idhaara
Funadhoo, Shaviyani Atoll
Republic of Maldives"
266,Heron Beach Dhiffushi,"Hudhuveli, Saleemee Hingun",Kaafu,Dhiffushi,,14,28,9906624 / 7777277,,sales@heronmaldives.com,,"Heylhi Holding Pvt Ltd 
G. Heylhi
Lonuziyaarai Magu
Male', Republic of Maldives","Ahmed Nihad
Reethiveli
Dhiffushi, Kaafu Atoll
Republic of Maldives"
267,Hevana,"Iruvai, Flower House & Midnight",Vaavu,Keyodhoo,,10,20,7722212,,moosa.asim23@gmail.com,www.hevanamaldives.com,"Hevana Holidays Pvt. Ltd.
Maafolhey Aage
Keyodhoo, Vaavu Atoll
Republic of Maldives","1. Land Owner of Flower House/V. Keyodhoo:
Ahmed Fiyaz 
Night Rose / V. Keyodhoo 
Republic of Maldives
2. Land Owner of Midnight/V. Keyodhoo:
Ameena Abdul Rasheed
Felidhooge / V. Keyodhoo
Republic of Maldives
3. Land Owner of Iruvai/V. Keyodhoo:
Zubaida Moosa 
Irumatheege / V. Keyodhoo 
Republic of Maldives"
268,Himeyn Beach Inn Maldives,"1. Boalhage, 2. Minivan Asseyri, Sosun Magu, Uthuru Avah",Haa Dhaalu,Hanimaadhoo,,4,8,9700041,,info@himeynbeach.com,http://www.himeynbeach.com/,"Celadon Pvt Ltd 
M. Fenfoahge, 1st Floor
Kulhidhoshu Magu
Male', Republic of Maldives","1. Zareena Gasim 
Minaa Asseyri
Hanimaadhoo, Haa Dhaalu Atoll
Republic of Maldives
2. Jariya Ali 
Irudheymaage
Baarah, Haa Alifu Atoll
Republic of Maldives"
269,Himeyn Beach Retreat,Silver Star Daisy Magu,Haa Dhaalu,Hanimaadhoo,,3,6,9700041,,,,"Celadon Pvt Ltd
Fenfoahge 
Kulhidhoshumagu
Male', Republic of Maldives","Fathimath Abdul Rahman 
Annaarumaage 
Hanimaadhoo, Haa Dhaalu Atoll 
Republic of Maldives"
